seed,model,N,M,USW,EF violations,CPU time,elapsed time,EF1,fPO
4,ILP,3,390,683.0,0,0.2182719999999989,0.1974560419999989,True,True
5,ILP,3,390,681.0,0,0.22733899999999707,0.17411033300000156,True,True
6,ILP,3,390,725.0,0,0.19799899999999937,0.16153025000000198,True,True
7,ILP,3,390,664.0,0,0.23212499999999991,0.17553150000000173,True,True
8,ILP,3,390,694.0,0,0.20517500000000055,0.16353541699999852,True,True
9,ILP,3,390,710.0,0,0.22152799999999928,0.1710110420000035,True,True
0,ILP,5,10,12.0,0,0.45629,0.06604379199999999,True,True
1,ILP,5,10,13.0,0,0.14815900000000015,0.021099834000000012,True,True
2,ILP,5,10,17.0,0,0.511808,0.07704412500000002,True,True
3,ILP,5,10,12.0,3,0.11308099999999999,0.01648229200000001,False,True
4,ILP,5,10,15.0,0,0.14433399999999996,0.03049833299999999,True,True
5,ILP,5,10,17.0,0,0.07018699999999978,0.019870459000000007,True,True
6,ILP,5,10,17.0,1,0.040614999999999846,0.014079624999999985,True,True
7,ILP,5,10,16.0,1,0.05967000000000011,0.02425554099999999,True,True
8,ILP,5,10,20.0,2,0.034804999999999975,0.02147795800000002,True,True
9,ILP,5,10,12.0,2,0.013504999999999878,0.01353912500000004,False,True
0,ILP,5,30,40.0,0,0.06427800000000028,0.04839441699999997,True,True
1,ILP,5,30,37.0,0,0.1301669999999997,0.066040667,True,True
2,ILP,5,30,43.0,0,0.12121700000000013,0.06486962500000004,True,True
3,ILP,5,30,39.0,0,0.06906400000000001,0.049821000000000004,True,True
4,ILP,5,30,41.0,0,0.07902999999999993,0.053425999999999974,True,True
5,ILP,5,30,43.0,0,0.06317899999999987,0.04860804200000002,True,True
6,ILP,5,30,49.0,0,0.06680600000000014,0.05004333299999997,True,True
7,ILP,5,30,47.0,0,0.21273800000000032,0.08824145799999994,True,True
8,ILP,5,30,50.0,0,0.06665999999999972,0.051783208000000025,True,True
9,ILP,5,30,36.0,0,0.07047200000000009,0.05093316700000006,True,True
0,ILP,5,50,67.0,0,0.08759300000000003,0.07811624999999989,True,True
1,ILP,5,50,63.0,0,0.11524000000000001,0.0845833330000001,True,True
2,ILP,5,50,72.0,0,0.11737099999999989,0.08562770900000016,True,True
3,ILP,5,50,67.0,0,0.07099900000000003,0.07114158299999995,True,True
4,ILP,5,50,69.0,0,0.2029289999999997,0.10739570800000009,True,True
5,ILP,5,50,75.0,0,0.11189999999999989,0.08326583300000001,True,True
6,ILP,5,50,77.0,0,0.1073660000000003,0.08304624999999999,True,True
7,ILP,5,50,71.0,0,0.14232099999999992,0.09795966700000003,True,True
8,ILP,5,50,83.0,0,0.10684299999999958,0.08637812499999997,True,True
9,ILP,5,50,68.0,0,0.10955300000000001,0.08489170900000009,True,True
0,ILP,5,70,100.0,0,0.11830499999999944,0.10379512499999999,True,True
1,ILP,5,70,92.0,0,0.10765500000000028,0.10097425000000015,True,True
2,ILP,5,70,103.0,0,0.13193400000000022,0.10855845899999972,True,True
3,ILP,5,70,96.0,0,0.13478100000000026,0.11020104199999992,True,True
4,ILP,5,70,96.0,0,0.12656199999999984,0.1062805,True,True
5,ILP,5,70,104.0,0,0.13073900000000016,0.10538399999999992,True,True
6,ILP,5,70,110.0,0,0.12806499999999943,0.10639116599999987,True,True
7,ILP,5,70,94.0,0,0.1504810000000001,0.1142978750000001,True,True
8,ILP,5,70,112.0,0,0.13189700000000038,0.10798812500000032,True,True
9,ILP,5,70,100.0,0,0.12966799999999967,0.1047382090000002,True,True
0,ILP,5,90,131.0,0,0.14906599999999948,0.12800512500000005,True,True
1,ILP,5,90,121.0,0,0.18685500000000044,0.13643062500000003,True,True
2,ILP,5,90,128.0,0,0.13666100000000014,0.1280694170000003,True,True
3,ILP,5,90,122.0,0,0.15329899999999963,0.12877895800000028,True,True
4,ILP,5,90,121.0,0,0.16660499999999967,0.134627708,True,True
5,ILP,5,90,133.0,0,0.1483460000000001,0.13174470799999982,True,True
6,ILP,5,90,139.0,0,0.16163600000000056,0.13329066700000025,True,True
7,ILP,5,90,119.0,0,0.7021570000000006,0.2728467499999998,True,True
8,ILP,5,90,145.0,0,0.148733,0.13143591599999915,True,True
9,ILP,5,90,131.0,0,0.17251800000000017,0.1373914169999999,True,True
0,ILP,5,110,162.0,0,0.13712500000000105,0.13715558400000027,True,True
1,ILP,5,110,148.0,0,0.1971930000000004,0.16232962499999992,True,True
2,ILP,5,110,154.0,0,0.2028629999999989,0.1631439170000002,True,True
3,ILP,5,110,148.0,0,0.2067920000000001,0.1646661250000001,True,True
4,ILP,5,110,145.0,0,0.2332409999999996,0.1656974999999994,True,True
5,ILP,5,110,158.0,0,0.22548500000000082,0.16334754199999946,True,True
6,ILP,5,110,170.0,0,0.16566900000000118,0.15331824999999988,True,True
7,ILP,5,110,146.0,0,0.1782559999999993,0.1583302919999996,True,True
8,ILP,5,110,171.0,0,0.23428700000000013,0.16736162499999985,True,True
9,ILP,5,110,163.0,0,0.17573800000000084,0.15589116700000005,True,True
0,ILP,5,130,190.0,0,0.21224600000000038,0.18408366700000034,True,True
1,ILP,5,130,174.0,0,0.19552499999999995,0.18224083299999982,True,True
2,ILP,5,130,182.0,0,0.2079430000000002,0.18569362499999986,True,True
3,ILP,5,130,181.0,0,0.22566699999999962,0.18062845800000016,True,True
